destination,district,avg_sentiment,sentiment_std,min_sentiment,max_sentiment,review_count,avg_positive_words,total_positive_words,avg_negative_words,total_negative_words,avg_review_length,review_length_std,avg_word_count,avg_exclamation,avg_question,avg_caps_ratio,sentiment_consistency,sentiment_ratio,num_accommodations,total_rooms,avg_rooms_per_hotel,rooms_std,avg_accommodation_grade,grade_std,accommodation_diversity,total_places,avg_place_grade,place_grade_std,places_restaurants,places_spa_and_wellness_centers,places_spice_gardens,places_tourist_shops,places_travel_agents,places_water_sports_centers,airbnb_avg_rating,airbnb_total_listings,airbnb_avg_guests,airbnb_rating_std,airbnb_total_capacity,national_tourism_index,tourism_seasonality,avg_exchange_rate,experience_score,experience_category,experience_class
Abarana Ella,hambantota,0.875,0.3415650255319866,0.0,1.0,16,0.875,14,0.0,0,32.75,28.89636655359978,5.3125,0.0,0.0,0.0,0.6584349744680134,15.0,76.0,1695.0,22.30263157894737,40.43233680668387,2.5526315789473686,0.755331924248852,7.0,6.0,2.5,0.8366600265340756,2.0,3.0,0.0,0.0,1.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.6014077805504271,Good,2
Aradunu Falls,badulla,0.631578947368421,0.4888515295293514,0.0,1.0,38,0.7631578947368421,29,0.02631578947368421,1,43.473684210526315,36.661148772276455,7.0,0.0,0.0,0.0,0.5111484704706486,15.0,116.0,765.0,6.594827586206897,6.896726946799521,2.413793103448276,0.7110184430707874,4.0,2.0,3.0,1.4142135623730951,1.0,0.0,0.0,1.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.48286516840137916,Good,2
Arankele archaeological site,kurunagela,0.39007092198581556,0.5702747407038824,-1.0,1.0,47,0.5957446808510638,28,0.0851063829787234,4,39.787234042553195,32.54758133684922,5.808510638297872,0.0,0.0,0.0,0.4297252592961176,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.20466386535682665,Poor,0
Asgiriya Raja Maha Viharaya,gampaha,0.46466165413533833,0.5458098637640143,-1.0,1.0,133,0.5789473684210527,77,0.03759398496240601,5,40.92481203007519,38.1451820024794,6.30827067669173,0.0,0.0,0.0,0.4541901362359857,13.0,207.0,3543.0,17.115942028985508,29.1013643118696,2.7342995169082127,0.8429792101167654,9.0,175.0,2.5942857142857143,0.8516187618878205,62.0,4.0,0.0,6.0,102.0,1.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.49524938388835493,Good,2
Atha Mala Ella,matara,0.7389558232931727,0.4912463899509034,-1.0,1.0,83,0.963855421686747,80,0.04819277108433735,4,48.21686746987952,66.34812993721187,7.409638554216867,0.0,0.0,0.0,0.5087536100490966,16.2,88.0,1190.0,13.522727272727273,23.418225181200402,2.6818181818181817,0.7957567719632624,8.0,13.0,2.8461538461538463,0.898717034272917,7.0,0.0,0.0,0.0,3.0,3.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.5499143207700501,Good,2
Athkanda raja maha viharaya,kurunagela,0.4148148148148148,0.5238375215967397,-1.0,1.0,135,0.5185185185185185,70,0.02962962962962963,4,32.762962962962966,36.20221140425429,5.007407407407407,0.0,0.0,0.0,0.4761624784032603,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.24802177738371656,Poor,0
Athugala viharaya,kurunagela,0.6473758865248227,0.4964130292582829,-1.0,1.0,235,0.8553191489361702,201,0.03404255319148936,8,46.212765957446805,42.20834373412825,7.3446808510638295,0.0,0.0,0.0,0.5035869707417171,22.444444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.4033725723445499,Average,1
Attidiya Bird Sanctuary,colombo,0.6650641025641026,0.5216695566216156,-1.0,1.0,208,0.9423076923076923,196,0.08173076923076923,17,60.54807692307692,42.66369550517519,9.173076923076923,0.0,0.0,0.00018491124260355032,0.4783304433783844,10.944444444444445,297.0,7519.0,25.316498316498315,66.77428319199615,2.5555555555555554,0.7997747430618447,9.0,939.0,2.5133120340788073,0.8567949895570585,255.0,21.0,0.0,22.0,641.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.7460454992461099,Excellent,3
Badulla Alugolla Samadhi Buddha,badulla,0.5333333333333333,0.5197546801484637,-0.2,1.0,24,0.75,18,0.08333333333333333,2,49.458333333333336,45.295147227035706,7.458333333333333,0.0,0.0,0.0,0.4802453198515363,6.333333333333333,116.0,765.0,6.594827586206897,6.896726946799521,2.413793103448276,0.7110184430707874,4.0,2.0,3.0,1.4142135623730951,1.0,0.0,0.0,1.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.424331387322715,Average,1
Badulla Dutch Fort,badulla,0.32954545454545453,0.6200035392759735,-1.0,1.0,88,0.5,44,0.11363636363636363,10,29.079545454545453,26.334812234439756,4.3522727272727275,0.0,0.0,0.0,0.3799964607240265,4.090909090909091,116.0,765.0,6.594827586206897,6.896726946799521,2.413793103448276,0.7110184430707874,4.0,2.0,3.0,1.4142135623730951,1.0,0.0,0.0,1.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.3283940741408053,Average,1
Badulla Katharagama Devalaya,badulla,0.3333333333333333,0.5494422557947561,-1.0,1.0,54,0.3888888888888889,21,0.037037037037037035,2,27.944444444444443,22.570992125615376,4.37037037037037,0.0,0.0,0.0,0.45055774420524386,7.333333333333333,116.0,765.0,6.594827586206897,6.896726946799521,2.413793103448276,0.7110184430707874,4.0,2.0,3.0,1.4142135623730951,1.0,0.0,0.0,1.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.3254854909270698,Average,1
Balakaduwa ella waterfall,matale,0.2,0.9189365834726815,-1.0,1.0,10,0.6,6,0.4,4,36.8,21.59629597870894,6.2,0.0,0.0,0.0,0.08106341652731852,1.4,86.0,1692.0,19.674418604651162,29.40125722020388,2.546511627906977,0.8211466408294892,8.0,45.0,2.4444444444444446,0.784959627090219,12.0,2.0,24.0,7.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.2076056477078432,Poor,0
Bambarakiri ella,matale,0.7115896836224257,0.4759624109374547,-1.0,1.0,733,1.0327421555252387,757,0.06002728512960437,44,47.85402455661664,40.49487892853312,7.35743519781719,0.0,0.0,0.0,0.5240375890625453,16.844444444444445,86.0,1692.0,19.674418604651162,29.40125722020388,2.546511627906977,0.8211466408294892,8.0,45.0,2.4444444444444446,0.784959627090219,12.0,2.0,24.0,7.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.6606957962174388,Excellent,3
Barberyn Island,kalutara,0.6312056737588653,0.5613735852258555,-1.0,1.0,47,0.9574468085106383,45,0.10638297872340426,5,66.46808510638297,45.54446039136292,10.042553191489361,0.0,0.0,0.0,0.43862641477414455,7.666666666666667,132.0,3285.0,24.886363636363637,41.405211850144035,2.606060606060606,0.8079526076114828,8.0,43.0,2.4651162790697674,0.797282205200067,12.0,11.0,0.0,3.0,13.0,4.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.4993152975448022,Good,2
Bataatha Agro Technology and Tourism Park,hambantota,0.7422222222222222,0.4569459521372339,-1.0,1.0,225,1.0666666666666667,240,0.04888888888888889,11,50.64888888888889,46.10707947569197,7.7555555555555555,0.0,0.0,0.0,0.5430540478627661,20.083333333333332,76.0,1695.0,22.30263157894737,40.43233680668387,2.5526315789473686,0.755331924248852,7.0,6.0,2.5,0.8366600265340756,2.0,3.0,0.0,0.0,1.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.5858586158238714,Good,2
Batadobalena,rathnapura,0.34767025089605735,0.5404283023556534,-1.0,1.0,93,0.5161290322580645,48,0.0967741935483871,9,59.365591397849464,47.283553751309434,8.838709677419354,0.0,0.0,0.0,0.4595716976443466,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.19851748676801872,Poor,0
Beddagana Wetland Park,colombo,0.7766428571428571,0.44515484017626705,-1.0,1.0,200,1.485,297,0.095,19,109.215,40.682108410499296,16.225,0.0,0.0,0.0,0.554845159823733,14.9,297.0,7519.0,25.316498316498315,66.77428319199615,2.5555555555555554,0.7997747430618447,9.0,939.0,2.5133120340788073,0.8567949895570585,255.0,21.0,0.0,22.0,641.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.8084437398497034,Excellent,3
Bellagio colombo,colombo,0.5496360989810771,0.6431268898358545,-1.0,1.0,229,0.9475982532751092,217,0.16593886462882096,38,45.60698689956332,38.691459959222854,7.139737991266376,0.0,0.0,0.0,0.35687311016414547,5.589743589743589,297.0,7519.0,25.316498316498315,66.77428319199615,2.5555555555555554,0.7997747430618447,9.0,939.0,2.5133120340788073,0.8567949895570585,255.0,21.0,0.0,22.0,641.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.6821124968433369,Excellent,3
Birds Research Center Hambantota,hambantota,0.6927533433109642,0.5051154387148844,-1.0,1.0,269,1.2899628252788105,347,0.12267657992565056,33,100.31970260223048,43.35055412788638,15.386617100371748,0.0,0.0,0.0,0.4948845612851156,10.235294117647058,76.0,1695.0,22.30263157894737,40.43233680668387,2.5526315789473686,0.755331924248852,7.0,6.0,2.5,0.8366600265340756,2.0,3.0,0.0,0.0,1.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.5693844030647669,Good,2
Biso Ella Waterfall,matara,0.6491228070175439,0.4814868367202129,0.0,1.0,57,0.8947368421052632,51,0.05263157894736842,3,37.280701754385966,36.476388833818106,6.0,0.0,0.0,0.0,0.518513163279787,13.0,88.0,1190.0,13.522727272727273,23.418225181200402,2.6818181818181817,0.7957567719632624,8.0,13.0,2.8461538461538463,0.898717034272917,7.0,0.0,0.0,0.0,3.0,3.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.49530178212149745,Good,2
Black Galle Fort,galle,0.45555555555555555,0.5705678534012492,-1.0,1.0,48,0.7708333333333334,37,0.14583333333333334,7,56.291666666666664,50.48823681549584,8.729166666666666,0.0,0.0,0.0,0.42943214659875084,4.75,284.0,5287.0,18.616197183098592,40.87121744173352,2.6232394366197185,0.8504553337024837,10.0,64.0,3.015625,0.9342204542520234,37.0,9.0,1.0,3.0,14.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.4857346222948758,Good,2
Blackpool,badulla,0.5476190476190477,0.5927357389374331,-1.0,1.0,42,0.8095238095238095,34,0.07142857142857142,3,36.833333333333336,36.77414034853818,6.119047619047619,0.0,0.0,0.0,0.40726426106256686,8.75,116.0,765.0,6.594827586206897,6.896726946799521,2.413793103448276,0.7110184430707874,4.0,2.0,3.0,1.4142135623730951,1.0,0.0,0.0,1.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.4317458662756499,Average,1
Boburu Fall Tracking,badulla,0.7368421052631579,0.4524139283588641,0.0,1.0,19,1.105263157894737,21,0.0,0,58.8421052631579,42.604463978287455,9.421052631578947,0.0,0.0,0.0,0.5475860716411358,22.0,116.0,765.0,6.594827586206897,6.896726946799521,2.413793103448276,0.7110184430707874,4.0,2.0,3.0,1.4142135623730951,1.0,0.0,0.0,1.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.5355113186886238,Good,2
Bogoda Raja Maha Viharaya,badulla,0.35294117647058826,0.5970814340265321,-1.0,1.0,34,0.4411764705882353,15,0.08823529411764706,3,55.794117647058826,43.1528498386591,8.382352941176471,0.0,0.0,0.0,0.40291856597346787,4.0,116.0,765.0,6.594827586206897,6.896726946799521,2.413793103448276,0.7110184430707874,4.0,2.0,3.0,1.4142135623730951,1.0,0.0,0.0,1.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.3261180164835443,Average,1
Bomburu Ella Waterfall,badulla,0.7019774011299434,0.5028766868078813,-1.0,1.0,236,1.021186440677966,241,0.0635593220338983,15,55.63135593220339,44.28846100937755,8.576271186440678,0.0,0.0,0.0,0.49712331319211867,15.125,116.0,765.0,6.594827586206897,6.896726946799521,2.413793103448276,0.7110184430707874,4.0,2.0,3.0,1.4142135623730951,1.0,0.0,0.0,1.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.5791081757924585,Good,2
Bopagama Ella,gampaha,0.6557971014492754,0.4977386885622095,-1.0,1.0,92,0.9456521739130435,87,0.07608695652173914,7,56.73913043478261,45.79598081247092,8.847826086956522,0.0,0.0,0.0,0.5022613114377905,11.0,207.0,3543.0,17.115942028985508,29.1013643118696,2.7342995169082127,0.8429792101167654,9.0,175.0,2.5942857142857143,0.8516187618878205,62.0,4.0,0.0,6.0,102.0,1.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.5874817716378984,Good,2
