country,total_tourists,avg_monthly_tourists,home_cpi
Australia,414233,6372.815384615385,125.12615384615384
Bangladesh,12519,3129.75,121.5475743975
Belarus,74,37.0,73.945471815
Canada,147514,2892.4313725490197,146.94117647058823
China,649767,11602.982142857143,99.77538374999999
Czech Republic,2055,2055.0,126.2
France,402719,5753.128571428571,110.40214285714285
Germany,632901,8438.68,107.60869333333333
India,1768319,24223.54794520548,164.26575342465753
Indonesia,718,359.0,96.155805
Iran,3738,3738.0,174.1
Israel,9675,2418.75,95.9
Italy,26492,6623.0,111.6
Japan,19165,3833.0,102.14
Kazakhstan,13107,1872.4285714285713,222.73529355714285
Maldives,192706,4014.7083333333335,98.98563468854167
Netherlands,79330,4407.222222222223,117.58666666666666
Norway,32,32.0,115.3
Pakistan,6446,1289.2,151.37961178
Poland,56961,4746.75,163.43333333333334
Russia,688397,10926.936507936507,217.1796857142857
Saudi Arabia,21848,5462.0,99.53597500000001
Spain,42324,3023.1428571428573,109.42364285714287
Sweden,6834,6834.0,331.87
Switzerland,22519,1732.2307692307693,102.52711538461539
Ukraine,61672,4405.142857142857,283.7785714285714
United Kingdom,918619,12413.77027027027,117.61756756756758
United States,265397,4212.650793650793,128.0235521777778
